customer_name,number_plate,fuel_type,time_in,time_out
Quincey,MP-26-ED-0784,electric,2019-11-20 05:03:16,2020-09-17 21:53:15
Gisela,BR-26-EE-0785,petrol,2019-11-04 09:47:23,2019-12-28 01:28:54
Agnesse,MH-43-EF-0786,petrol,2020-02-19 15:14:10,2019-10-16 09:44:07
Thor,PB-29-EG-0787,CNG,2020-03-02 13:32:39,2020-07-29 03:04:56
Torrence,UP-60-EH-0788,electric,2020-02-08 01:18:01,2020-03-13 12:41:25
Tani,HR-44-EI-0789,electric,2020-07-30 20:37:40,2020-06-19 05:23:14
Odelinda,HP-37-EJ-0790,petrol,2020-02-13 04:46:48,2020-10-04 10:46:23
Augie,HR-79-EK-0791,LPG,2019-11-20 02:03:58,2020-04-09 19:59:47
Marketa,PB-41-EL-0792,petrol,2019-12-10 23:19:24,2019-11-14 02:56:20
Isak,OD-21-EM-0793,LPG,2020-02-26 19:05:53,2020-02-21 22:38:19
Vonnie,UP-84-EN-0794,electric,2020-04-12 23:51:28,2020-06-02 03:11:25
Donnell,WB-14-EO-0795,petrol,2020-06-12 07:28:17,2020-01-23 13:24:53
Hortense,HR-19-EP-0796,electric,2020-03-28 22:44:20,2019-12-10 12:38:03
Gianna,JH-21-EQ-0797,electric,2020-09-13 15:40:44,2020-10-01 18:09:10
Araldo,BR-56-ER-0798,electric,2020-03-21 19:45:10,2020-02-20 03:14:34
Lottie,TN-79-ES-0799,electric,2020-09-30 13:58:00,2019-11-28 03:54:47
Taddeo,KA-44-ET-0800,electric,2020-03-20 17:08:50,2020-04-11 01:04:24
Sela,OD-18-EU-0801,LPG,2020-09-07 16:10:36,2020-02-25 16:36:52
Karney,UA-04-EV-0802,deisel,2020-06-27 08:52:01,2019-10-18 10:24:43
Nerita,KL-06-EW-0803,LPG,2020-05-22 01:17:04,2019-10-20 19:45:09
Beth,BR-10-EX-0804,electric,2020-06-24 00:27:46,2020-07-14 02:47:20
Filmer,OD-18-EY-0805,deisel,2020-03-02 11:31:35,2020-08-22 20:35:03
Cletus,OD-04-EZ-0806,electric,2020-02-01 22:20:44,2020-05-07 23:35:48
Jasen,NL-01-FA-0807,electric,2020-09-10 06:11:54,2020-05-15 23:16:03
Sidney,OD-11-FB-0808,deisel,2020-08-26 16:36:58,2020-07-11 20:55:46
Dante,AS-22-FC-0809,deisel,2020-04-16 20:59:54,2020-06-22 08:34:12
Arleen,HP-64-FD-0810,petrol,2020-01-25 13:43:30,2020-03-19 06:46:56
Patric,JK-11-FE-0811,petrol,2020-06-09 22:09:05,2020-04-18 00:59:41
Ragnar,KA-56-FF-0812,petrol,2020-06-13 12:28:14,2020-01-10 01:12:35
Brendon,UP-78-FG-0813,CNG,2020-02-21 06:32:11,2020-04-13 20:08:19
Kakalina,BR-37-FH-0814,petrol,2020-08-30 11:05:21,2020-02-21 03:14:45
Humberto,JK-14-FI-0815,petrol,2020-07-06 15:42:42,2020-01-01 23:37:05
Melba,KA-55-FJ-0816,LPG,2020-03-26 13:35:58,2020-07-09 23:14:14
Scot,RJ-11-FK-0817,CNG,2019-12-12 02:26:18,2020-02-19 01:59:19
Adair,MH-46-FL-0818,LPG,2019-12-27 21:39:30,2019-11-07 05:24:07
Sanford,DL-6-FM-0819,CNG,2020-03-27 12:49:58,2019-11-17 15:15:04
Parnell,JK-09-FN-0820,LPG,2019-11-26 11:16:04,2020-07-30 02:19:24
Elsey,KL-22-FO-0821,CNG,2020-09-12 21:28:05,2019-12-21 04:37:55
Prudi,HP-12-FP-0822,CNG,2020-09-08 23:01:02,2019-11-19 13:26:22
Rudie,GJ-26-FQ-0823,LPG,2020-05-10 18:00:46,2020-03-16 02:04:47
Joceline,JH-04-FR-0824,LPG,2020-02-05 21:00:05,2020-08-24 12:51:08
Raphaela,OD-07-FS-0825,CNG,2019-12-02 12:27:05,2020-10-13 14:53:46
Melodie,GJ-29-FT-0826,CNG,2020-01-15 07:47:40,2019-10-29 03:00:46
Hermina,HR-21-FU-0827,electric,2020-04-19 10:10:24,2020-06-26 22:02:10
Georg,KL-36-FV-0828,electric,2020-07-30 00:24:19,2020-07-18 08:48:38
Maurine,TN-78-FW-0829,deisel,2019-12-25 13:50:46,2019-12-27 14:45:29
Toni,PB-08-FX-0830,CNG,2020-04-18 02:50:02,2020-01-01 01:28:45
Emmett,AR-13-FY-0831,CNG,2019-12-01 17:30:47,2020-02-22 05:33:21
Josey,MP-22-FZ-0832,deisel,2020-08-21 23:08:41,2020-03-18 23:51:27
Ricky,HR-06-GA-0833,CNG,2020-09-14 02:09:31,2020-03-22 11:00:46
Jenna,WB-01-GB-0834,electric,2020-03-18 09:20:54,2020-03-26 09:05:46
Deloria,PB-72-GC-0835,deisel,2019-12-24 11:11:02,2019-11-26 15:07:21
Ernie,UP-31-GD-0836,deisel,2019-10-21 12:22:50,2019-12-04 01:54:14
Twila,KA-29-GE-0837,LPG,2020-01-03 21:08:57,2020-01-19 16:11:49
Leonhard,HR-71-GF-0838,deisel,2020-10-03 16:50:33,2020-05-19 23:20:33
Karlis,MH-40-GG-0839,electric,2020-10-04 03:58:08,2020-01-19 23:03:40
Herc,AR-01-GH-0840,petrol,2020-04-27 19:09:30,2020-08-19 02:41:00
Joshia,HP-34-GI-0841,petrol,2020-03-08 08:21:56,2019-12-14 09:20:55
Nickey,GJ-36-GJ-0842,electric,2020-06-13 01:19:55,2019-12-19 12:59:33
Ethelda,RJ-16-GK-0843,CNG,2020-07-26 11:52:14,2020-09-13 11:17:21
Kirbee,MP-10-GL-0844,CNG,2019-11-19 13:48:31,2019-12-26 06:46:15
Mommy,MP-09-GM-0845,deisel,2020-01-22 18:05:29,2020-04-10 05:09:13
Tressa,MH-33-GN-0846,deisel,2020-03-08 01:43:21,2020-01-18 02:32:28
Way,HR-30-GO-0847,CNG,2020-06-20 04:45:36,2020-05-26 09:33:30
Ody,WB-61-GP-0848,CNG,2020-09-16 20:42:34,2019-11-27 00:46:08
Kerri,KA-57-GQ-0849,electric,2020-02-06 13:04:19,2020-08-14 02:53:23
Ermentrude,RJ-43-GR-0850,LPG,2020-04-28 19:41:45,2020-07-29 22:41:23
Jodie,JK-17-GS-0851,petrol,2020-10-15 10:06:38,2020-06-04 17:41:18
Ethyl,MP-05-GT-0852,LPG,2019-12-07 07:08:47,2019-11-27 12:42:18
Alta,TN-50-GU-0853,CNG,2020-03-26 05:18:24,2020-04-21 12:16:04
Brier,HR-62-GV-0854,LPG,2020-05-03 04:29:03,2020-01-22 22:09:26
Lee,HP-29-GW-0855,deisel,2020-02-23 14:11:01,2020-05-06 09:32:51
Roth,AS-06-GX-0856,petrol,2020-01-26 08:53:45,2020-05-04 04:35:01
Ilse,TN-31-GY-0857,petrol,2019-12-23 18:17:55,2020-07-24 10:49:30
Daisy,OD-29-GZ-0858,CNG,2019-12-27 14:16:52,2019-12-21 04:28:24
Sadella,HP-31-HA-0859,CNG,2019-12-27 08:01:13,2020-05-29 00:39:56
Sigrid,ML-06-HB-0860,electric,2020-05-11 08:03:50,2020-03-10 16:08:49
Jamil,KL-19-HC-0861,CNG,2019-12-25 13:29:29,2020-05-08 17:36:48
Wallie,UP-45-HD-0862,electric,2020-01-20 08:10:43,2020-04-15 10:44:29
Sherman,MZ-06-HE-0863,LPG,2020-07-17 08:42:30,2020-08-13 05:11:36
Oliviero,BR-29-HF-0864,electric,2020-08-30 06:06:36,2020-01-19 15:18:53
Huntlee,WB-63-HG-0865,CNG,2020-09-10 23:52:05,2020-04-15 06:27:42
Gauthier,PB-10-HH-0866,electric,2020-04-07 12:25:49,2020-03-11 12:52:45
Roxine,KL-40-HI-0867,CNG,2019-12-05 09:40:13,2020-04-03 17:40:09
Walther,HP-07-HJ-0868,electric,2020-06-24 17:59:07,2020-09-05 13:08:23
Marv,WB-74-HK-0869,electric,2020-05-13 01:50:08,2020-02-21 02:05:08
Megen,MP-34-HL-0870,LPG,2020-05-16 17:08:16,2020-06-17 10:49:56
Emmye,PB-37-HM-0871,petrol,2019-12-26 01:27:12,2020-04-26 06:55:53
Vanessa,AP-16-HN-0872,LPG,2020-08-24 07:27:47,2019-12-14 06:32:31
Christel,CG-07-HO-0873,petrol,2020-03-30 04:46:56,2020-03-02 01:10:50
Fergus,DD-02-HP-0874,electric,2020-02-21 06:48:03,2019-12-17 00:55:01
Alair,RJ-11-HQ-0875,CNG,2020-02-06 02:43:29,2019-11-03 21:36:25
Carney,TN-30-HR-0876,deisel,2020-04-04 20:23:03,2020-09-30 06:30:34
Aeriel,WB-13-HS-0877,CNG,2020-09-26 10:35:34,2020-07-31 04:49:49
Sheelah,MP-70-HT-0878,CNG,2020-04-24 16:45:25,2020-02-27 07:09:48
Deena,PB-63-HU-0879,deisel,2020-08-17 22:40:25,2019-12-26 16:32:27
Davita,GJ-21-HV-0880,LPG,2020-06-23 05:28:20,2019-11-20 15:42:59
Rosie,WB-06-HW-0881,petrol,2019-12-15 11:53:18,2020-04-15 03:32:36
Gerard,AS-10-HX-0882,petrol,2019-12-20 19:54:49,2019-12-18 07:00:34
Hermon,MP-19-HY-0883,electric,2019-10-31 09:35:55,2019-12-20 16:04:02
Nerissa,MH-25-HZ-0884,deisel,2020-03-14 18:49:33,2019-12-11 21:11:23
Tore,HP-68-IA-0885,deisel,2020-02-26 02:05:47,2020-05-24 18:57:38
Rea,RJ-06-IB-0886,CNG,2020-08-03 03:44:53,2020-04-05 14:53:07
Elsworth,KL-71-IC-0887,CNG,2020-04-20 14:28:14,2020-03-13 22:24:28
Anne-corinne,KL-01-ID-0888,CNG,2020-01-10 18:56:28,2020-06-01 10:42:30
Boigie,RJ-06-IE-0889,CNG,2019-11-08 08:10:13,2020-05-05 06:58:57
Tierney,HP-14-IF-0890,petrol,2020-10-07 21:23:30,2020-10-11 00:26:53
Antonino,MP-22-IG-0891,petrol,2019-12-04 02:18:38,2020-07-23 14:13:37
Tammy,TN-48-IH-0892,electric,2020-08-06 17:24:44,2020-01-31 01:26:58
Nert,AN-01-II-0893,CNG,2020-04-25 04:21:22,2020-09-20 23:08:01
Alistair,HR-26-IJ-0894,deisel,2020-03-08 00:19:02,2020-02-23 00:36:57
Ashley,KA-47-IK-0895,deisel,2020-09-05 17:52:22,2020-07-16 07:35:55
Milli,GJ-28-IL-0896,electric,2020-02-10 05:11:07,2020-04-16 22:30:38
Graeme,MP-08-IM-0897,petrol,2020-04-11 22:52:00,2020-09-16 08:40:13
Gussi,HR-38-IN-0898,electric,2020-03-01 08:48:33,2020-09-02 03:09:48
Stan,MH-10-IO-0899,electric,2019-12-26 15:04:30,2020-07-02 02:39:04
Lisabeth,HP-48-IP-0900,deisel,2020-01-31 19:31:44,2019-11-27 17:07:54
Lucia,MP-06-IQ-0901,electric,2020-06-29 18:46:23,2019-12-07 01:10:09
Deane,OD-24-IR-0902,electric,2020-07-25 04:47:17,2020-10-08 20:25:27
Patty,KA-22-IS-0903,LPG,2020-05-03 14:00:44,2020-06-14 22:44:06
Randolf,AP-13-IT-0904,LPG,2020-05-07 11:29:43,2020-03-10 20:37:59
Axe,CH-02-IU-0905,electric,2019-11-29 07:06:24,2020-03-05 08:57:10
Kayley,WB-31-IV-0906,deisel,2020-07-26 09:21:59,2020-03-31 11:55:19
West,WB-10-IW-0907,deisel,2020-03-29 16:52:02,2020-03-21 18:59:00
Olimpia,MH-56-IX-0908,petrol,2020-05-13 03:51:39,2020-09-23 21:32:43
Deena,RJ-34-IY-0909,deisel,2020-02-05 04:35:26,2020-05-17 02:39:04
Kyrstin,MP-27-IZ-0910,petrol,2019-12-06 02:31:29,2020-05-05 18:25:18
Meredithe,KL-42-JA-0911,deisel,2020-05-26 15:17:32,2020-08-19 07:05:17
Concettina,MZ-08-JB-0912,deisel,2020-02-13 06:42:35,2019-12-04 01:01:31
Nissie,DL-6-JC-0913,LPG,2020-05-20 01:49:22,2020-05-11 01:10:29
Cthrine,KL-47-JD-0914,deisel,2020-08-17 20:03:20,2020-02-15 20:47:33
Clevie,AS-23-JE-0915,LPG,2020-02-29 14:48:58,2020-05-27 19:40:39
Noam,TN-88-JF-0916,petrol,2020-01-19 00:02:43,2020-08-30 18:41:47
Rodger,UA-11-JG-0917,CNG,2020-07-04 04:38:48,2020-06-22 15:11:22
Becka,MH-40-JH-0918,deisel,2020-06-29 11:37:26,2020-06-06 11:02:11
Aubine,RJ-37-JI-0919,petrol,2020-01-23 06:41:44,2020-07-09 09:42:44
Agatha,HR-80-JJ-0920,LPG,2020-01-08 09:54:43,2020-06-07 13:58:07
Jo,CG-07-JK-0921,LPG,2019-11-27 10:29:01,2020-02-15 00:09:37
Pegeen,GJ-13-JL-0922,CNG,2020-04-20 23:20:52,2020-07-19 06:04:04
Morten,WB-11-JM-0923,CNG,2020-04-21 03:51:42,2020-08-04 17:00:41
Peri,GJ-21-JN-0924,deisel,2020-07-07 05:19:55,2020-05-27 09:24:40
Henry,MP-47-JO-0925,LPG,2020-06-10 05:21:28,2020-02-05 02:29:45
Trude,AP-13-JP-0926,deisel,2020-07-07 00:43:50,2019-10-21 05:37:16
Brigham,KL-11-JQ-0927,deisel,2020-03-24 13:51:19,2020-10-10 04:19:31
Ruby,CG-08-JR-0928,CNG,2020-03-01 00:07:39,2020-01-10 16:05:38
Dimitry,PB-33-JS-0929,electric,2020-08-27 17:51:02,2020-04-22 01:08:39
Cloris,GJ-1-JT-0930,LPG,2020-06-11 06:53:29,2020-01-20 09:03:29
Toiboid,HP-19-JU-0931,CNG,2020-06-30 00:36:33,2019-11-23 10:55:33
Roxy,MH-08-JV-0932,LPG,2020-09-13 07:23:55,2020-02-27 10:40:50
Lynsey,MP-20-JW-0933,petrol,2020-04-12 06:31:04,2020-03-03 08:16:16
Korney,AR-08-JX-0934,LPG,2020-09-13 08:39:05,2020-02-03 20:45:04
Nikolos,HP-11-JY-0935,electric,2020-06-19 04:21:43,2020-05-09 06:23:21
Joana,HP-30-JZ-0936,deisel,2020-06-20 12:28:14,2020-09-19 00:38:55
Ericka,GJ-33-KA-0937,electric,2020-08-20 17:45:06,2020-07-25 04:38:58
Hurley,RJ-41-KB-0938,CNG,2019-10-18 09:04:46,2020-02-20 14:39:02
Thornie,AR-11-KC-0939,deisel,2019-10-24 07:19:49,2019-12-30 08:30:09
Brennan,SK-03-KD-0940,LPG,2020-03-02 20:12:48,2020-01-09 10:42:37
Opalina,KL-69-KE-0941,LPG,2020-07-22 19:10:52,2020-03-05 08:08:13
Reidar,MP-43-KF-0942,petrol,2020-04-30 14:19:55,2020-07-03 23:40:01
Camey,GJ-8-KG-0943,CNG,2020-07-08 23:04:33,2020-03-20 21:52:36
Crissie,PB-73-KH-0944,CNG,2020-01-30 12:30:43,2020-05-29 22:40:36
Rebeca,RJ-05-KI-0945,electric,2019-11-25 18:09:46,2019-11-24 00:28:06
Deny,TN-20-KJ-0946,deisel,2020-01-11 09:40:37,2020-05-01 05:04:16
Garry,UP-47-KK-0947,petrol,2020-08-16 00:42:04,2020-04-22 20:42:33
Timothee,PB-18-KL-0948,CNG,2020-04-26 22:16:54,2019-12-17 23:36:21
Edgard,GJ-18-KM-0949,electric,2020-03-14 18:15:32,2020-07-23 03:23:51
Christean,DL-4-KN-0950,electric,2019-11-29 19:17:23,2019-12-30 08:33:55
Ulysses,TN-77-KO-0951,petrol,2020-03-10 10:33:23,2019-11-11 15:30:23
Aggie,KL-42-KP-0952,electric,2020-02-11 11:45:22,2020-07-10 19:58:22
Natalee,MP-05-KQ-0953,deisel,2019-11-13 00:19:34,2020-06-03 09:54:07
Thorpe,KA-18-KR-0954,electric,2020-08-10 06:55:32,2020-08-29 04:49:49
Marge,KA-25-KS-0955,electric,2019-11-17 17:29:26,2020-02-12 04:21:05
Gwyneth,MH-34-KT-0956,petrol,2020-08-02 01:05:01,2019-11-03 01:43:18
Anjela,ML-09-KU-0957,deisel,2020-06-04 13:16:08,2020-03-14 17:43:26
Moise,AS-26-KV-0958,CNG,2020-04-11 02:23:14,2019-10-26 09:12:44
Vinnie,JK-14-KW-0959,deisel,2020-02-21 06:47:56,2020-02-26 22:41:46
Genevra,HP-37-KX-0960,electric,2020-05-13 00:47:21,2020-10-06 05:50:31
Morgan,UP-95-KY-0961,CNG,2020-04-25 00:24:59,2020-04-07 12:02:58
Cassius,HR-43-KZ-0962,petrol,2019-10-17 02:41:41,2020-07-22 03:11:28
Jeanette,GJ-30-LA-0963,CNG,2020-09-04 08:32:25,2019-11-05 06:13:03
Allis,RJ-26-LB-0964,LPG,2019-12-28 20:05:31,2020-09-02 22:33:01
John,TN-38-LC-0965,deisel,2020-08-31 09:51:06,2020-07-21 09:02:38
Rodge,HR-44-LD-0966,deisel,2019-10-19 23:03:25,2020-10-13 16:56:22
Quintin,KL-54-LE-0967,LPG,2019-12-28 22:38:09,2020-06-10 12:35:44
Bartholomew,HR-73-LF-0968,LPG,2020-05-29 00:05:03,2019-12-18 15:07:44
Nanci,RJ-31-LG-0969,LPG,2020-08-25 20:43:44,2020-05-19 11:53:38
Kelby,UP-74-LH-0970,electric,2020-08-30 19:39:29,2020-06-27 15:17:06
Letti,TN-52-LI-0971,electric,2020-04-14 03:12:43,2020-03-05 18:25:55
Zenia,MP-01-LJ-0972,electric,2020-05-30 20:48:40,2020-09-22 17:05:34
Felike,HR-26-LK-0973,CNG,2019-12-06 05:04:03,2019-12-06 02:03:36
Virge,AS-07-LL-0974,deisel,2020-10-02 09:24:10,2019-12-01 08:20:57
Hubie,UP-53-LM-0975,electric,2020-07-09 12:54:49,2020-03-24 06:08:21
Flss,UP-61-LN-0976,deisel,2020-01-20 00:38:05,2019-11-26 16:02:02
Garland,MH-16-LO-0977,petrol,2020-06-25 13:50:39,2020-08-23 16:09:34
Isak,AP-01-LP-0978,electric,2020-02-27 07:03:20,2020-08-12 19:38:32
Katrinka,AS-14-LQ-0979,electric,2020-04-23 15:17:14,2019-11-17 15:45:21
Ailee,PB-03-LR-0980,CNG,2020-03-17 22:28:16,2020-09-11 13:23:44
Tine,BR-07-LS-0981,CNG,2020-05-22 14:53:45,2020-07-21 19:13:23
Elbertine,HP-56-LT-0982,LPG,2020-06-20 11:03:10,2020-10-05 22:05:14
Nanete,BR-01-LU-0983,deisel,2019-11-10 01:17:13,2020-06-07 10:21:43
De witt,HP-76-LV-0984,CNG,2020-07-06 23:36:21,2020-07-25 02:12:49
Eirena,AR-10-LW-0985,deisel,2020-09-28 02:41:34,2020-03-24 15:04:10
Karl,HP-53-LX-0986,deisel,2020-09-03 01:11:51,2020-02-19 22:06:12
Mose,PB-56-LY-0987,petrol,2020-02-26 16:33:10,2020-06-21 21:01:13
Morley,MH-10-LZ-0988,petrol,2020-02-08 03:36:35,2020-08-23 11:14:04
Staford,MH-38-MA-0989,deisel,2020-04-27 03:40:45,2020-05-20 03:23:49
Hephzibah,MP-34-MB-0990,electric,2020-10-06 01:07:48,2020-02-21 04:18:37
Violette,CG-24-MC-0991,CNG,2019-10-24 05:19:06,2020-06-25 19:05:11
Bliss,KA-10-MD-0992,petrol,2020-09-01 10:19:55,2020-09-08 12:26:51
Pegeen,AR-04-ME-0993,LPG,2020-10-06 19:05:42,2020-01-29 11:25:23
Kirstin,AP-31-MF-0994,CNG,2020-10-02 03:01:38,2020-06-09 09:29:51
Ernestine,MH-54-MG-0995,petrol,2019-12-28 04:33:59,2020-01-09 15:04:19
Harrison,GJ-11-MH-0996,CNG,2020-01-11 07:02:53,2020-02-14 09:32:34
Lindsay,PB-23-MI-0997,CNG,2019-10-21 03:51:09,2020-03-14 05:45:12
Renault,AR-15-MJ-0998,petrol,2019-11-14 01:50:49,2020-01-27 12:01:58
Ignatius,AP-37-MK-0999,LPG,2020-04-01 17:46:17,2019-12-10 17:41:14
Viola,LD-04-ML-1000,electric,2020-07-07 21:01:24,2020-06-06 03:48:42
